ID,Overskrift,svar,billed
1,Hvilket dyr kan hoppe 350 gange sin egen krobslængde?,Flåt,myre.jpg
2,Hvor mange ben har en and?,2 ben,and.jpg
3,Hvilken bjørn har sort hud?,Isbjørn,bjørn.jpg
4,Hvilket dyr har klamydia,Koalaen,klamydia-dyr.jpg
5,Sandt eller falsk: En gennemsnitlig ræv vejer 6.3 kilogram,Sandt,ræv.jpg
6,Hvilket pattedyr er det eneste som kan flyve?,Flagermus,dyr-der-kan-flyv.jpg
7,"Sandt eller falsk: For hvert menneske der er i verden, er der en 300.000 myrer",Falsk - der er en million myrer,myre.jpg
8,Kan dyr genkende sig selv i spejlet?,Ja, elefanter, delfiner og visse abearter, er i stand til at kunne genkednde sig selv i spejlet.",kig-i-spejlet.jpg
9,Sandt eller falsk: En tarantel kan leve op til 2 år uden mad,Sandt,tarantel.jpg
10,Hvor tit går et dovendyr på toilettet? 1 gang om dagen, 3 gange om ugen, 1 gang om ugen.","svaret: 1 gang om ugen. Det skyldes, at dovendyret har et meget langsomt stofskifte, den er derfor lang tid om at fordøje maden.",dovendyr.jpg
11,Hvilket dyr har det latiske navn: Canis lupus lupus?,Den grå ulv,vådt-dovendyr.jpg
12,Hvorfor er dovendyr tit beskidte på ryggen?,"Dovendyr bevæger sig så langsomt, at alger og mosser vokser på dem, hvilket giver dem en fæl lugt, men samtidig en kamouflage",beskidt-dovendyr.jpg
13,Hvad kaldes en gruppe af ugler?,Et parlament,ugle.jpg
14,"Fuglen er kendt for sin syngen, finder der dyr i pattedyrsriget, der har samme egenskab?","Ja, sæler, moskusokser og hvaler synger alle høje og komplekse sange for at tiltrække hunner.",songbird.jpg
15,Begår dyr selvmord?,"Nej dyr begår ikke selvmord, det skyldes, at dette kræver en bevidst handling. Dog findes der myrerer i australien, hvis krop eksplodere som et selvforsvar, når den føler sig truet. selvom det kan virke ekstremt, er det faktisk en overlevelsesstrategi.",myre.jpg
16,Kan elefanter hoppe?,"Nej, elefanter kan ikke hoppe, da deres kroppe ligesom næsehornet ikke er bygget til det.",kig-i-spejlet.jpg
17,"Gør det noget, hvis man taber maling på snegle?"",""Ja faktisk. sneglen bruger sin skal til at orientere sig i sin omgivelse ved at føle jordens magnetiske felt. Når malingen dækker skallen, kan sneglen ikke længere føle magnetfeltet og bliver desorienteret samt tabrer sin evne til at navigere.",snegl.jpg
